No.,Wilayah NTT,Angka Harapan Hidup (Tahun),Harapan Lama Sekolah (Tahun),Rata-rata Lama Sekolah (Tahun),Pengeluaran Rill per Kapita Disesuaikan (Rp.000),Produk Domestik Regional Bruto (PDRB) berdasarkan harga konstan (dalam Jutaan rupiah),IPM
1,Sumba Barat,66.58,12.88,6.52,7275,1358,62.91
2,Sumba Timur,64.45,12.8,6.74,9351,3769,64.65
3,Kupang,63.86,13.83,7.11,7472,4624,63.55
4,Timor Tengah Selatan,65.91,12.55,6.47,6855,4495,61.58
5,Timor Tengah Utara,66.45,13.29,7.26,6357,2733,62.65
6,Belu,63.81,12.25,7.08,7403,2778,61.86
7,Alor,60.8,12.09,7.81,6750,1885,60.14
8,Lembata,66.57,12.26,7.95,7253,1101,63.96
9,Flores Timur,64.7,12.89,7.42,7573,3339,63.55
10,Sikka,66.61,12.7,6.69,7958,3123,63.89
11,Ende,64.75,13.76,7.79,8995,3907,66.62
12,Ngada,67.59,12.68,8.07,8857,2176,67.1
13,Manggarai,66.23,12.71,7.26,7175,2852,63.32
14,Rote Ndao,63.8,13.16,7.24,6484,1810,61.51
15,Manggarai Barat,66.58,11.55,7.18,7426,2095,62.58
16,Sumba Barat Daya,67.96,12.32,5.76,6093,2117,60.07
17,Sumba Tengah,68.02,13.04,6.32,6298,707,61.89
18,Nagekeo,66.62,12.46,7.82,8219,1303,65.35
19,Manggarai Timur,67.62,11.34,6.65,5809,1917,59.49
20,Sabu Raijua,59.53,13.12,6.06,5245,743,55.79
21,Malaka,64.52,12.76,6.6,5894,1757,59.66
22,Kota Kupang,68.58,16.08,11.46,13199,15556,78.84
,Nusa Tenggara Timur,66.38,13.1,7.3,7566,66145,64.39
